Name,Year,Director,خفن,Type,Animation,Comment,URL,Casts
Boyhood,2014,Richard Linklater,,Movie,IsNot,,https://www.imdb.com//title/tt1065073/?ref_=fn_al_tt_1,"Ellar Coltrane, Patricia Arquette, Elijah Smith, Lorelei Linklater, Steven Chester Prince, Bonnie Cross, Sydney Orta, Libby Villari, Ethan Hawke, Marco Perella, Jamie Howard, Andrew Villarreal, Shane Graham, Tess Allen, Ryan Power, Sharee Fowler, Mark Finn, Charlie Sexton, Byron Jenkins, Holly Moore, David Blackwell, Barbara Chisholm, Matthew Martinez-Arndt, Cassidy Johnson, Cambell Westmoreland, Jennifer Griffin, Garry Peters, Merrilee McCommas, Tamara Jolaine, Jordan Howard, Andrew Bunten, Tyler Strother, Evie Thompson, Brad Hawkins, Savannah Welch, Mika Odom, Sinjin Venegas, Nick Krause, Derek Chase Hickey, Angela Rawna, Megan Devine, Jenni Tooley, Landon Collier, Roland Ruiz, Richard Andrew Jones, Karen Jones, Gordon Friday, Tom McTigue, Sam Dillon, Martel Summers, David Clark, Zoe Graham, Jessie Tilton, Richard Robichaux, Will Harris, Indica Shaw, Bruce Salmon, Wayne Sutton, Joe Sundell, Sean Tracey, Ben Hodges, Daniel Zeh, Chris Doubek, Andrea McKinnon, Mona Lee Fultz, Bill Wise, Alina Linklater, Charlotte Linklater, Genevieve Kinney, Elijah Ford, Kyle Crusham, Conrad Choucroun, Maximillian McNamara, Taylor Weaver, Jessi Mechler"
Braveheart,1995,Mel Gibson,,Movie,IsNot,,https://www.imdb.com//title/tt0112573/?ref_=fn_al_tt_1,"James Robinson, Sean Lawlor, Sandy Nelson, James Cosmo, Sean McGinley, Alan Tall, Andrew Weir, Gerda Stevenson, Ralph Riach, Mhairi Calvey, Brian Cox, Patrick McGoohan, Peter Hanly, Sophie Marceau, Stephen Billington, Barry McGovern, Angus Macfadyen, John Kavanagh, Alun Armstrong, Mel Gibson, Catherine McCormack, Brendan Gleeson, Tommy Flanagan, Julie Austin, Alex Norton, Joanne Bett, Rupert Vansittart, Michael Byrne, Robert Paterson, Malcolm Tierney, William Scott-Masson, Dean Lopata, Tam White, Donal Gibson, Jeanne Marine, Martin Dunne, Fred Chiverton, Ian Bannen, Jimmy Chisholm, David O'Hara, John Murtagh, David McKay, Peter Mullan, Martin Murphy, Gerard McSorley, Bernard Horsfall, Richard Leaf, Daniel Coll, Niall O'Brien, Liam Carney, Bill Murdoch, Phil Kelly, Martin Dempsey, Jimmy Keogh, Joe Savino, David Gant, Mal Whyte, Paul Tucker"
Brokeback Mountain,2005,Ang Lee,,Movie,IsNot,,https://www.imdb.com//title/tt0388795/?ref_=fn_al_tt_1,"Heath Ledger, Jake Gyllenhaal, Randy Quaid, Valerie Planche, Dave Trimble, Victor Reyes, Lachlan Mackintosh, Michelle Williams, Larry Reese, Marty Antonini, Tom Carey, Dan McDougall, Don Bland, Steven Cree Molison, Anne Hathaway, Duval Lang, Dean Barrett, Hannah Stewart, Scott Michael Campbell, Mary Liboiron, Graham Beckel, Kade Philps, Steffen Cole Moser, Brooklynn Proulx, Keanna Dubé, James Baker, Pete Seadon, Sarah Hyslop, Jacey Kenny, Jerry Callaghan, Cayla Wolever, Cheyenne Hill, Jake Church, Ken Zilka, John Tench, Linda Cardellini, Anna Faris, David Harbour, Kate Mara, Will Martin, Gary Lauder, Christian Fraser, Cam Sutherland, Roberta Maxwell, Peter McRobbie"
Call Me By Your Name,2017,Luca Guadagnino,,Movie,IsNot,,https://www.imdb.com//title/tt5726616/?ref_=fn_al_tt_1,"Armie Hammer, Timothée Chalamet, Michael Stuhlbarg, Amira Casar, Esther Garrel, Victoire Du Bois, Vanda Capriolo, Antonio Rimoldi, Elena Bucci, Marco Sgrosso, André Aciman, Peter Spears"
Captain fantastic,2016,Matt Ross,,Movie,IsNot,,https://www.imdb.com//title/tt3553976/?ref_=fn_al_tt_1,"Viggo Mortensen, George MacKay, Samantha Isler, Annalise Basso, Nicholas Hamilton, Shree Crooks, Charlie Shotwell, Trin Miller, Kathryn Hahn, Steve Zahn, Elijah Stevenson, Teddy Van Ee, Erin Moriarty, Missi Pyle, Frank Langella, Ann Dowd, Galen Osier, Hannah Horton, Rex Young, Thomas Brophy, Mike Miller, Greg Crooks, Louis Hobson"
Cinema Paradiso,1988,Giuseppe Tornatore,,Movie,IsNot,,https://www.imdb.com//title/tt0095765/?ref_=fn_al_tt_1,"Antonella Attili, Enzo Cannavale, Isa Danieli, Leo Gullotta, Marco Leonardi, Pupella Maggio, Agnese Nano, Leopoldo Trieste, Salvatore Cascio, Tano Cimarosa, Nicola Di Pinto, Roberta Lena, Nino Terzo, Jacques Perrin, Philippe Noiret, Nellina Laganà, Turi Giuffrida, Mariella Lo Giudice, Giorgio Libassi, Beatrice Palme, Ignazio Pappalardo, Angela Leontini, Mimmo Mignemi, Margherita Mignemi, Giuseppe Pellegrino, Turi Killer, Angelo Tosto, Concetta Borpagano, Franco Catalano"
Clockwork Orange,1971,Stanley Kubrick,,Movie,IsNot,,https://www.imdb.com//title/tt0066921/?ref_=fn_al_tt_1,"Malcolm McDowell, Patrick Magee, Michael Bates, Warren Clarke, John Clive, Adrienne Corri, Carl Duering, Paul Farrell, Clive Francis, Michael Gover, Miriam Karlin, James Marcus, Aubrey Morris, Godfrey Quigley, Sheila Raynor, Madge Ryan, John Savident, Anthony Sharp, Philip Stone, Pauline Taylor, Margaret Tyzack, Steven Berkoff, Lindsay Campbell, Michael Tarn, David Prowse, Barrie Cookson, Jan Adair, Gaye Brown, Peter Burton, John J. Carney, Vivienne Chandler, Richard Connaught, Prudence Drage, Carol Drinkwater, Lee Fox, Cheryl Grunwald, Gillian Hills, Craig Hunter, Shirley Jaffe, Virginia Wetherell, Neil Wilson, Katya Wyeth"
Closer,2004,Mike Nichols,,Movie,IsNot,,https://www.imdb.com//title/tt0376541/?ref_=fn_al_tt_1,"Natalie Portman, Jude Law, Julia Roberts, Clive Owen, Nick Hobbs, Colin Stinton"
Cloud Atlas,2012,"Tom Tykwer, Lana Wachowski, Lilly Wachowski",,Movie,IsNot,,https://www.imdb.com//title/tt1371111/?ref_=fn_al_tt_1,"Tom Hanks, Halle Berry, Jim Broadbent, Hugo Weaving, Jim Sturgess, Bae Doona, Ben Whishaw, Keith David, James D'Arcy, Xun Zhou, David Gyasi, Susan Sarandon, Hugh Grant, Robert Fyfe, Martin Wuttke, Robin Morrissey, Brody Nicholas Lee, Ian van Temperley, Amanda Walker, Ralph Riach, Andrew Havill, Tanja de Wendt, Raevan Lee Hanan, Götz Otto, Niall Greig Fulton, Louis Dempsey, Martin Docherty, Alistair Petrie, Zhu Zhu, Sylvestra Le Touzel, Jojo Schöning, Laura Vietzen, Thomas Kügel, Marie Rönnebeck, Ruby Kastner, Emma Werz, Mya-Lecia Naylor, Korbyn Hawk Hanan, Katy Karrenbauer, Dulcie Smart, Anna Holmes, Shaun Lawton, Moritz Berg, Gigi Lee, Genevien Lee, Cody Benjamin Lee, Heike Hanold-Lynch, Victor Solé, Kristoffer Fuss, Marco Albrecht, Gary McCormack, David Mitchell"
Coherence,2013,James Ward Byrkit,*,Movie,IsNot,,https://www.imdb.com//title/tt2866360/?ref_=fn_al_tt_1,"Emily Baldoni, Maury Sterling, Nicholas Brendon, Lorene Scafaria, Elizabeth Gracen, Hugo Armstrong, Alex Manugian, Lauren Maher, Aqueela Zoll, Carrie Patterson, Kelly Donovan, Alexis Boozer Sterling, Mark Ballou"
Constantine,2005,Francis Lawrence,,Movie,IsNot,,https://www.imdb.com//title/tt0360486/?ref_=fn_al_tt_1,"Keanu Reeves, Rachel Weisz, Shia LaBeouf, Djimon Hounsou, Max Baker, Pruitt Taylor Vince, Gavin Rossdale, Tilda Swinton, Peter Stormare, Jesse Ramirez, José Zúñiga, Francis Guinan, Larry Cedar, April Grace, Suzanne Whang, Jhoanna Trias, Alice Lo, Nicholas Downs, Tanoai Reed, Quinn Buniel, Ann Ryerson, Stephanie Fabian, Connor Dylan Wryn, Laz Alonso, Jeremy Ray Valdez, Jose Molina, Barbara Pilavin, C.W. Pyun, Sharon Omi, Edward J. Rosen, John Gipson, Roberto Kawata"
Crazy Stupid Love,2011,"Glenn Ficarra, John Requa",:D,Movie,IsNot,,https://www.imdb.com//title/tt1570728/?ref_=fn_al_tt_1,"Steve Carell, Ryan Gosling, Julianne Moore, Emma Stone, Lio Tipton, Jonah Bobo, Joey King, Marisa Tomei, Beth Littleford, John Carroll Lynch, Kevin Bacon, Liza Lapira, Josh Groban, Mekia Cox, Julianna Guill, Zayne Emory, Crystal Reed, Joanne Brooks, Reggie Lee, Caitlin Thompson, Karolina Wydra, Tracy Mulholland, Katerina Kopel, Janine Barris, Jenny Mollen, Charlie Hartsock, Algerita Wynn, Wendy Worthington, Dan Butler, Tiara Parker, Laurel Coppock, Rasika Mathur, Joshua Sternlicht, Jasen Salvatore, Michael Long, Dillon Neaman, J-ray, Janae Nicole Caudillo, Christopher Darga, Rich Hutchman, Richard Steven Horvitz, Lauren Stone, Megan James, Rebecca Flinn-White, Billy Atchison, Ehrin Marlow, David Orosz, Camille Abelow, Maija Polsley, Christian Pitre, Heather La Bella, Georgia Hurd, Lisa Brown, Tingting Yu, Raena Cassidy, Ami Haruna, Jessica Diz, Tania Wagner, Georgia Treantafelles, Holly Daniels"
Dallas Buyers Club,2013,Jean-Marc Vallée,,Movie,IsNot,,https://www.imdb.com//title/tt0790636/?ref_=fn_al_tt_1,"Matthew McConaughey, Jennifer Garner, Jared Leto, Denis O'Hare, Steve Zahn, Michael O'Neill, Dallas Roberts, Griffin Dunne, Kevin Rankin, Donna Duplantier, Deneen Tyler, JD Evermore, Ian Casselberry, Noelle Wilcox, Bradford Cox, Rick Espaillat, Lawrence Turner, Lucius Falick, James DuMont, Jane McNeill, Don Brady, Matthew Thompson, Tony Bentley, Sean Boyd, Rachel Wulff, Neeona Neal, Scott Takeda, Jonathan Tabler, Joji Yoshida, Carl Palmer, Martin Covert, Douglas M. Griffin, David Lichtenstein, Craig Borten, Henry Frost, Arthur Smith"
Damage,1992,Louis Malle,,Movie,IsNot,,https://www.imdb.com//title/tt0104237/?ref_=fn_al_tt_1,"Jeremy Irons, Juliette Binoche, Miranda Richardson, Rupert Graves, Ian Bannen, Peter Stormare, Gemma Clarke, Julian Fellowes, Leslie Caron, Tony Doyle, Ray Gravell, Susan Engel, David Thewlis, Benjamin Whitrow, Jeff Nuttall, Roger Llewellyn, Jason Morell, Barry Stearn, Linda Delapena, Francine Stock, Henry Power, Simon De Deney, Luc Etienne"
Dark Crimes,2016,Alexandros Avranas,,Movie,IsNot,,https://www.imdb.com//title/tt1901024/?ref_=fn_al_tt_1,"Jim Carrey, Marton Csokas, Charlotte Gainsbourg, Kati Outinen, Vlad Ivanov, Robert Wieckiewicz, Agata Kulesza, Piotr Glowacki, Julia Gdula, Zbigniew Zamachowski, Danuta Kowalska, Zygmunt Józefczak, Marianna Figurska, Anna Polony, Marcin Stec, Piotr Stramowski, Katarzyna Warnke, Marcel Sabat, Anna Moskal, Michal Kitlinski, Dominika Bednarczyk, Mateusz Dewera, Anna Wendzikowska, Kasia Koleczek, Lukasz Garlicki, Marta Kownacka, Piotr Kosiba, Pawel Okraska, Maria Surzycka, Bartosz Waga, Marcin Molik, Pawel Janisiów, Malgorzata Krukowska, Lucretia Nagabczynski, Wojciech Graniczewski"
Dead poet society,1989,Peter Weir,*,Movie,IsNot,,https://www.imdb.com//title/tt0097165/?ref_=fn_al_tt_1,"Robin Williams, Robert Sean Leonard, Ethan Hawke, Josh Charles, Gale Hansen, Dylan Kussman, Allelon Ruggiero, James Waterston, Norman Lloyd, Kurtwood Smith, Carla Belver, Leon Pownall, George Martin, Joe Aufiery, Matt Carey, Kevin Cooney, Jane Moore, Lara Flynn Boyle, Colin Irving, Alexandra Powers, Melora Walters, Welker White, Steve Mathios, Alan Pottinger, Pamela Burrell, Allison Hedges, Christine D'Ercole, John Cunningham, Debra Mooney, John Martin Bradley, Charles Lord, Kurt Leitner, Richard Stites, James J. Christy, Catherine Soles, Hoover Sutton, James Donnell Quinn, Simon Mein, Ashton W. Richards, Robert Gleason, Bill Rowe, Robert J. Zigler III, Keith Snyder, Nicholas K. Gilhool, Jonas Stiklorius, Craig Johnson, Chris Hull, Jason Woody, Sam Stegeman, Andrew Hill"
Demolition,2015,Jean-Marc Vallée,,Movie,IsNot,,https://www.imdb.com//title/tt1172049/?ref_=fn_al_tt_1,"Jake Gyllenhaal, Naomi Watts, Chris Cooper, Judah Lewis, C.J. Wilson, Polly Draper, Malachy Cleary, Debra Monk, Heather Lind, Wass Stevens, Blaire Brooks, Ben Cole, Brendan Dooling, James Colby, Alfredo Narciso, Madison Arnold, Gregory Haney, James Young, Bjorn DuPaty, Jane Dashow, Tom Kemp, Royce Johnson, Hani Avital, Elizabeth Loyacano, Celia Au, Stephen Badalamenti, Mark Lewis, Aaron Bantum, Lytle Harper, Kevin Herbst"
Disconnect,2012,Henry Alex Rubin,,Movie,IsNot,,https://www.imdb.com//title/tt1433811/?ref_=fn_al_tt_1,"Jason Bateman, Hope Davis, Frank Grillo, Michael Nyqvist, Paula Patton, Andrea Riseborough, Alexander Skarsgård, Max Thieriot, Colin Ford, Jonah Bobo, Haley Ramm, Norbert Leo Butz, Kasi Lemmons, John Sharian, Aviad Bernstein, Teresa Celentano, Marc Jacobs, Cole Mohr, Kevin Csolak, Ella Lentini, Tessa Albertson, Erin Wilhelmi, Ryder Gering, Andrew Seddon, Nicholas Zakotiria, Alex Manette, Adalberto Bermudez, Deidre Daly, Darlene Troiano, Mark Zupan, Katelin Baxter, Jackie Austin"
Divergent,2014,Neil Burger,,Movie,IsNot,,https://www.imdb.com//title/tt1840309/?ref_=fn_al_tt_1,"Shailene Woodley, Theo James, Ashley Judd, Jai Courtney, Ray Stevenson, Zoë Kravitz, Miles Teller, Tony Goldwyn, Ansel Elgort, Maggie Q, Mekhi Phifer, Kate Winslet, Ben Lloyd-Hughes, Christian Madsen, Amy Newbold, Ben Lamb, Janet Ulrich Brooks, Clara Burger, Anthony Fleming III, Ryan Carr, Alexander Hashioka Oatfield, Will Blagrove, Rotimi, Justine Wachsberger, Michael Gideon Sherry, Lukas Burger, Austin Lyon, Renee Morrison, Lucas Ross, Chris Hayes, Ana Corbi, Eric Kaldor, Alice Bowden, Cleo Anthony, Alice Rietveld, Brad Greiner, Yasmine Aker, Michael James Bell, Leigh Bush, Bob Rumnock, Elyse Cole, Efé, Christopher Weir, Doyle Brand, Faye Jackson, Scott Roberts, Sophia Marzocchi"
Doctor strange,2016,Scott Derrickson,,Movie,IsNot,,https://www.imdb.com//title/tt1211837/?ref_=fn_al_tt_1,"Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams, Benedict Wong, Mads Mikkelsen, Tilda Swinton, Michael Stuhlbarg, Benjamin Bratt, Scott Adkins, Zara Phythian, Alaa Safi, Katrina Durden, Topo Wresniwiro, Umit Ulgen, Linda Louise Duan, Mark Anthony Brighton, Meera Syal, Amy Landecker, Adam Pelta-Pauls, Sarah Malin, Eben Young, Kobna Holdbrook-Smith, Elizabeth Healey, Guillaume Faure, Daniel Dow, Stan Lee, Ezra Faroque Khan, Kimberly Van Luin, Pat Kiernan"
Downsizing,2017,Alexander Payne,,Movie,IsNot,,https://www.imdb.com//title/tt1389072/?ref_=fn_al_tt_1,"Matt Damon, Christoph Waltz, Hong Chau, Kristen Wiig, Rolf Lassgård, Ingjerd Egeberg, Udo Kier, Søren Pilmark, Jason Sudeikis, Maribeth Monroe, Jayne Houdyshell, Phil Reeves, James Van Der Beek, Alison J. Palmer, Tim Driscoll, Kristen Thomson, Kevin Kunkel, Patrick Gallagher, Linda M. Anderson, John Reynolds, Carmen Orellana, David Noonen, Bob Bezousek, Ana Marie Cox, Roland Martin, Milo Goodman, Dave Sokolowski, Michael Heathcote, Martha Girvin, Brendan Beiser, Alison Brooks, Paul Constable, Neil Patrick Harris, Laura Dern, Niecy Nash, Margo Martindale, Kerri Kenney, Donna Lynne Champlin, Don Lake, Mary Kay Place, Sherry Mandujano, Kimberly Kodatsky, Larry Mannell, Kerry-Lee Finkle, Natasha Bromfield, Raffaele Brereton, Damiãn Garth Brown, Jermaine Granville, Jeffrey Sinclair, Richard D. Leko, Jon De Leon, Haui, Maryam Moshiri, Bill Coulter, Jeff Clarke, Juan Carlos Velis, Paul Mabon, Veena Sood, Nick Douzenis, Spiros Kontos, Maria Kontou, Peter Melatos, Loukia Papadapoulos, Paul Marion-Landais, Rodrigo Salera, Salvador Sindoni, Balaram Vilchis, Ann Bordwine Beeder, Kathryn Aboya, Brigette Lundy-Paine, Kristina Cocoli, Lina Shekhovtsova, Jeffrey R. Smith, Pepe Serna, Rose Bianco, Lidia Perez, Ramon Marroquin, Cicela Bravatti, Jorge Tello, Pamela Archer, Dalila Gamboa Diaz, Margareta Pettersson, Joaquim de Almeida, Cameron Geddes, Bjørnar Egede-Nissen, Warren Belle, George B. Seremba, Christoph Friedrich Richter, Michaela Sanielevici, Caroline Andersen, Erik Andersen, Solveig Barber, Aaron Befus, Bent Brakas, Steve Fievet, Jahkeil Goldson, David Gudjonsson, Marianne Haldorsen, Jani Hamalainen, Ida Linckert Hertzman, Erik Irwin, Anastasia Kharlamova, Ksenia Daniela Kharlamova, Aleksander Krogevoll, Elizabeth Jeanne le Roux, Tero Konttinen, Raimo Kurppa, Kristin Lyssand, Mark Makivirta, Sari Miettinen, Tanya Missirlian, Antti Muhunen, Kent Nielsen, Riita Nikolakakos, Velva Nystrom, Thomas Paloheimo, Lars Paronen, Jacob Pettersson, Kimberly Rowntree, Jorgen Runas, Michael Skretteberg, Tomas Straum, Kari Svenneby, Alari Tork, Thomas Wicks, Kristina Yedlitska"
Due Date,2010,Todd Phillips,,Movie,IsNot,,https://www.imdb.com//title/tt1231583/?ref_=fn_al_tt_1,"Robert Downey Jr., Zach Galifianakis, Michelle Monaghan, Jamie Foxx, Juliette Lewis, Danny McBride, RZA, Matt Walsh, Brody Stevens, Jakob Ulrich, Naiia Ulrich, Todd Phillips, Bobby Tisdale, Sharon Conley, Nathalie Fay, Emily Wagner, Steven M. Gagnon, Paul Renteria, Marco Rodríguez, Mimi Kennedy, Tymberlee Hill, Keegan-Michael Key, Aaron Lustig, Jon Cryer, Charlie Sheen"
Eternal sunshine of the spotless mind,2010,Michel Gondry,*,Movie,IsNot,,https://www.imdb.com//title/tt0338013/?ref_=fn_al_tt_1,"Jim Carrey, Kate Winslet, Gerry Robert Byrne, Elijah Wood, Thomas Jay Ryan, Mark Ruffalo, Jane Adams, David Cross, Kirsten Dunst, Tom Wilkinson, Ryan Whitney, Debbon Ayer, Amir Ali Said, Brian Price, Paulie Litt, Josh Flitter, Lola Daehler, Deirdre O'Connell"
Exam,2009,Stuart Hazeldine,,Movie,IsNot,,https://www.imdb.com//title/tt1258197/?ref_=fn_al_tt_1,"Adar Beck, Gemma Chan, Nathalie Cox, John Lloyd Fillingham, Chukwudi Iwuji, Pollyanna McIntosh, Luke Mably, Jimi Mistry, Colin Salmon, Chris Carey"
Eyes Wide Shut,1999,Stanley Kubrick,,Movie,IsNot,,https://www.imdb.com//title/tt0120663/?ref_=fn_al_tt_1,"Tom Cruise, Nicole Kidman, Madison Eginton, Jackie Sawiris, Sydney Pollack, Leslie Lowe, Peter Hans Benson, Todd Field, Michael Doven, Sky du Mont, Louise J. Taylor, Stewart Thorndike, Randall Paul, Julienne Davis, Lisa Leone, Kevin Connealy, Marie Richardson, Thomas Gibson, Mariana Hewett, Dan Rollman, Gavin Parry, Chris Pare, Adam Lias, Christian Clarke, Kyle Whitcombe, Gary Goba, Vinessa Shaw, Florian Windorfer, Rade Serbedzija, Togo Igawa, Eiji Kusuhara, Leelee Sobieski, Sam Douglas, Angus MacInnes, Abigail Good, Brian W. Cook, Leon Vitali, Carmela Marner, Alan Cumming, Fay Masterson, Phil Davies, Cindy Dolenc, Clark Hayes, Treva Etienne, Colin Angus, Karla Ashley, Kate Charman, James Demaria, Tony DeSergio, Janie Dickens, Laura Fallace, Vanessa Fenton, Georgina Finch, Peter Godwin, Joanna Heath, Lee Henshaw, Ateeka Poole, Adam Pudney, Sharon Quinn, Ben De Saumserez, Emma Lou Sharratt, Paul Spelling, Matthew Thompson, Dan Travers, Russell Trigg, Kate Whalin"
Fight club,1999,David Fincher,*,Movie,IsNot,,https://www.imdb.com//title/tt0137523/?ref_=fn_al_tt_1,"Edward Norton, Brad Pitt, Meat Loaf, Zach Grenier, Richmond Arquette, David Andrews, George Maguire, Eugenie Bondurant, Christina Cabot, Helena Bonham Carter, Sydney 'Big Dawg' Colston, Rachel Singer, Christie Cronenweth, Tim DeZarn, Ezra Buzzington, Dierdre Downing-Jackson, Bob Stephenson, Charlie Dell, Rob Lanza, David Lee Smith, Holt McCallany, Joel Bissonnette, Eion Bailey, Evan Mirand, Robby Robinson, Lou Beatty Jr., Thom Gossom Jr., Valerie Bickford, Jared Leto, Peter Iacangelo, Carl Ciarfalio, Stuart Blumberg, Todd Peirce, Mark Fite, Matt Winston, Joon Kim, Bennie Moore, Lauren Sanchez, Pat McNamara, Tyrone R. Livingston, Owen Masterson, David Jean Thomas, Paul Carafotes, Christopher John Fields, Anderson Bourell, Scotch Ellis Loring, Michael Shamus Wiles, Andi Carnick, Edward Kowalczyk, Leonard Termo, Van Quattro, Markus Redmond, Michael Girardin"
First Man,2018,Damien Chazelle,,Movie,IsNot,,https://www.imdb.com//title/tt1213641/?ref_=fn_al_tt_1,"Ryan Gosling, Claire Foy, Jason Clarke, Kyle Chandler, Corey Stoll, Patrick Fugit, Christopher Abbott, Ciarán Hinds, Olivia Hamilton, Pablo Schreiber, Shea Whigham, Lukas Haas, Ethan Embry, Brian d'Arcy James, Cory Michael Smith, Kris Rey, Gavin Warren, Luke Winters, Connor Blodgett, Lucy Stafford, JD Evermore, Leon Bridges, Steve Coulter, Skyler Bible, William Gregory Lee, Choppy Guillotte, Braydyn Nash Helms, Edmund Grant, Callie Brown, Claire Smith, Brady Smith, John David Whalen, Matthew Glave, Rodney J. Hobbs, Kermit Rolison, Willie Repoley, Ben Owen, Jim Stearns, James H. Williams, William G. Tomek, Helen S. Jackson, Ambrit Millhouse, Mark Armstrong, Kevin Buttimer, Dustin Lewis, Robert Hatch, Anna Chazelle, Tyner Rushing, Myra Brown, Ronald Hicks, Lawrence Jonasson, Irina Labouz, Anthony Paolucci, Philip Boyd, Stephanie Turner, Timothy Batten, Kokou Aurelien Gaya, Todd Truley, Mark Kelly, Tim Olcott, Andrea Maria Hintermaier, Jamie Anne Allman, Charles Carroll, Brian Mahoney, Donald Elise Watkins, Tess Oakland, Michael Lee Kimel, Ryan Clay Forbes, Joshua Powell, Thomas Clay Strickland, Brad Kitchen, Tim Harper, Andrew Armstrong, Kevin Johnson, Damian Lovello, Nelson Bonilla, Andrew Stahl, Mark Kirkman, Brian David McCay, Mark Schlichting, Mark Yurgil, Andrew Buckman, Christopher Sgubin"
Focus,2015,"Glenn Ficarra, John Requa",,Movie,IsNot,,https://www.imdb.com//title/tt2381941/?ref_=fn_al_tt_1,"Will Smith, Margot Robbie, Adrian Martinez, Gerald McRaney, Rodrigo Santoro, BD Wong, Brennan Brown, Robert Taylor, Dotan Bonen, Griff Furst, Stephanie Honoré, David Stanford, Dominic Fumusa, Steve Kim, Don Yesso, Juan Minujín, Jano Seitun, Melania Lenoir, Pietro Gian, Justina Bustos, Paula Brasca, Antonella Macchi, Aaron Jay Rome, Armando Leduc, Jon Eyez, Clay Chamberlin, Danny Ladmirault, Chip Carriere, Daniella Short, Frank Monteleone, Alan Sabbagh, Hervé Segata, Jorge Takashima, Pierre Marquille, Nas Mehdi, Federico Bongiorno, Kate Adair, Billy Slaughter, Lindsay Clift, Thomas Francis Murphy, Nicoye Banks, Ruy Gatti, Cacilie Hughes, Alvin Chon, Brett Baker, Taylor Persh, Mariano Bertolini, Scott Michael Jefferson, Billy Louviere, Thomas Thomason, Antonella Saldicco, Joaquín Berthold, Marina Artigas, Dario Dukah, Martin Covert, Apollo Robbins, Michael Dardant, Victor Moran, Eric McMullen, Han Soto, Yeshi Tenzin, Laney Chouest, Darrell Foster, Hilary Ellison Tuttle, Guillermo Miguel, Nina Leon, Nick Reasons, Chris Dieker, Stevie Baggs Jr., Thomas Holley, Walter Prestenberg Jr., Nic Harris, Patrick O'Hara, David Haines, Steve M. Hammond, Derrick Townsend"
Forrest Gump,1994,Robert Zemeckis,,Movie,IsNot,,https://www.imdb.com//title/tt0109830/?ref_=fn_al_tt_1,"Tom Hanks, Rebecca Williams, Sally Field, Michael Conner Humphreys, Harold G. Herthum, George Kelly, Bob Penny, John Randall, Sam Anderson, Margo Moorer, Ione M. Telech, Christine Seabrook, John Worsham, Peter Dobson, Siobhan Fallon Hogan, Alexander Zemeckis, Logan Livingston Gomez, Ben Waddel, Elizabeth Hanks, Hanna Hall, Tyler Long, Christopher Jones, Grady Bowman, Kevin Mangan, Fay Genens, Frank Geyer, Robin Wright, Rob Landry, Jason McGuire, Pete Auster, Sonny Shroyer, Brett Rice, Ed Davis, Daniel C. Striepeke, Bruce Lucvia, David Brisbin, Kirk Ward, Angela Lomas, Timothy Record, Deborah McTeer, Mark Matheisen, Al Harrington, Jed Gillin, Bob Harks, Don Fischer, Kenneth Bevington, Michael Flannery, Gary Robinson, Mykelti Williamson, Marlena Smalls, Kitty K. Green, Afemo Omilami, Matt Wallace, Danté McCarthy, Paulie DiCocco, Mike Jolly, Michael Kemmerling, John Voldstad, Jeffrey Winner, Russ Wilson, Daniel J. Gillooly, Gary Sinise, Calvin Gadsden, Aaron Izbicki, Michael Burgess, Steven Griffith, Bill Roberson, Michael McFall, Eric Underwood, Steve DeRelian, Byron Minns, Stephen Bridgewater, Bonnie Ann Burgess, Scott Oliver, John William Galt, Hilary Chaplain, Isabel Rose, Jay Ross, Richard D'Alessandro, Dick Stilwell, Kevin Davis, Michael Jace, Geoffrey Blake, Tim Perry, Vanessa Roth, Emily Carey, Paul Raczkowski, Valentine, Dick Cavett, Joe Stefanelli, Tiffany Salerno, Marla Sucharetza, Aloysius Gigl, Jack Bowden, Joe Alaskey, Lazarus Jackson, W. Benson Terry, Matt Rebenkoff, Peter Bannon, The Hallelujah Singers of Beaufort South Carolina, Joe Washington, Nora Dunfee, Natalie Hendrix Tate, Hallie D'Amore, Chiffonye Cobb, Juan Singleton, Bobby Richardson, Michael Mattison, Lenny Herb, Charles Boswell, Timothy McNeil, Haley Joel Osment, Lonnie Hamilton, Teresa Denton"
Get Out,2017,Jordan Peele,,Movie,IsNot,,https://www.imdb.com//title/tt5052448/?ref_=fn_al_tt_1,"Daniel Kaluuya, Allison Williams, Catherine Keener, Bradley Whitford, Caleb Landry Jones, Marcus Henderson, Betty Gabriel, LaKeith Stanfield, Stephen Root, Lil Rel Howery, Ashley LeConte Campbell, John Wilmot, Caren L. Larkey, Julie Ann Jones, Rutherford Cravens, Geraldine Singer, Yasuhiko Oyama, Richard Herd, Erika Alexander, Jeronimo Spinx, Ian Casselberry, Trey Burvant, John Donohue, Sean Paul Braud, Zailand Adams"
